Date,Adj Close,Volume,MACD,Signal,RSI,good news
2020-01-13,104.972,132588000,8.54960289997766,7.53115037556013,84.3943303605525,FALSE
2020-01-14,107.584,144981000,9.14660084893301,7.85424047023471,85.6451892715927,FALSE
2020-01-15,103.699997,86844000,9.20026452006402,8.12344528020057,75.9026150305107,FALSE
2020-01-16,102.697998,108683500,9.05753084337107,8.31026239283467,73.5772729418758,FALSE
2020-01-17,102.099998,68145500,8.7947790357812,8.40716572142398,72.1565016850957,FALSE
2020-01-21,109.440002,89017500,9.07422133996826,8.54057684513283,77.8183073088094,FALSE
2020-01-22,113.912003,156845000,9.54648850889011,8.74175917788429,80.4294174289028,TRUE
2020-01-23,114.44,98255000,9.84982592603525,8.96337252751448,80.7180175004799,FALSE
2020-01-24,112.963997,71768000,9.85749088902891,9.14219619981737,77.2868739299244,FALSE
2020-01-27,111.603996,68040500,9.64267001514611,9.24229096288312,74.1588638596345,FALSE
2020-01-28,113.379997,58942500,9.50615037874054,9.2950628460546,75.5504858903923,FALSE
2020-01-29,116.197998,89007500,9.51565615216936,9.33918150727755,77.6107889255215,FALSE
2020-01-30,128.162003,145028500,10.3690567307569,9.54515655197343,83.8378189878696,FALSE
2020-01-31,130.113998,78596500,11.0752242298696,9.85117008755267,84.5908413885134,FALSE
2020-02-03,156,235325000,13.5672561994894,10.59438730994,90.7474396770166,FALSE
2020-02-04,177.412003,304694000,17.0731703044679,11.8901439088456,93.1761196581036,FALSE
2020-02-05,146.940002,242119000,17.1945881667221,12.9510327604209,66.4457950897645,FALSE
2020-02-06,149.792007,199404000,17.3212767691523,13.8250815621672,67.388771362809,FALSE
2020-02-07,149.613998,85317500,17.208940605596,14.5018533708529,67.2617145059657,FALSE
2020-02-10,154.255997,123446000,17.2951165731162,15.0605060113056,68.9080066318526,FALSE
2020-02-11,154.876007,58487500,17.2149974984028,15.491404308725,69.1312856155872,FALSE
2020-02-12,153.457993,60112500,16.8429259099703,15.7617086289741,67.9297794799047,FALSE
2020-02-13,160.800003,131446500,16.9451620625094,15.9983993156812,70.7631363476065,FALSE
2020-02-14,160.005997,78468500,16.7688148422763,16.1524824210002,70.0424370865995,FALSE
2020-02-18,171.679993,81908500,17.3708124008712,16.3961484169744,74.2025426065748,FALSE
2020-02-19,183.483994,127115000,18.5861346430652,16.8341456621925,77.5910860383003,FALSE
2020-02-20,179.882004,88174500,19.0391641531253,17.2751493603791,74.3804370562073,FALSE
2020-02-21,180.199997,71574000,19.2024982347607,17.6606191352554,74.4808309424062,FALSE
2020-02-24,166.757996,75961000,18.0393382675547,17.7363629617153,63.2056725191055,FALSE
2020-02-25,159.981995,86452500,16.3819184041591,17.465474050204,58.4058139415945,FALSE
2020-02-26,155.759995,70427500,14.5598838285167,16.8843560058666,55.5739455438256,FALSE
2020-02-27,135.800003,121386000,11.374189185737,15.7823226418407,44.5712597130315,FALSE
2020-02-28,133.598007,121114500,8.57299638941967,14.3404573913565,43.546962030629,FALSE
2020-03-02,148.723999,100975000,7.4872635445623,12.9698186219976,51.7497723990236,FALSE
2020-03-03,149.102005,128920000,6.58144753739984,11.6921444050781,51.9377210546805,FALSE
2020-03-04,149.899994,75245000,5.86041762253012,10.5257990485685,52.3596099176866,FALSE
2020-03-05,144.908005,54263500,4.83050141432699,9.38673952172018,49.4361334932186,FALSE
2020-03-06,140.695999,63314500,3.63253807839203,8.23589923305455,47.0491206836883,FALSE
2020-03-09,121.599998,85368500,1.12923865475761,6.81456711739517,38.073388016437,FALSE
2020-03-10,129.065994,77972000,-0.249326610537253,5.40178837180868,42.6777713438134,FALSE
2020-03-11,126.846001,66612500,-1.50365124163108,4.02070044912073,41.6852829393811,FALSE
2020-03-12,112.110001,94545500,-3.64476995554642,2.4876063681873,35.7433041516774,FALSE
2020-03-13,109.323997,113201500,-5.50299411082997,0.889486272383845,34.7352010148288,FALSE
2020-03-16,89.014,102447500,-8.51632625401987,-0.991676232896898,28.4383018831432,TRUE
2020-03-17,86.040001,119973000,-11.0173889502055,-2.99681877635861,27.6479234511144,FALSE
2020-03-18,72.244003,118931000,-13.9518921685822,-5.18783345480332,24.2771735431159,FALSE
2020-03-19,85.528,150977500,-15.0323163861869,-7.15673004108004,32.7758216133136,FALSE
2020-03-20,85.505997,141427500,-15.7092493727868,-8.86723390742138,32.7692612560117,FALSE
2020-03-23,86.858002,82272500,-15.9527349392364,-10.2843341137844,33.6480983167685,FALSE
2020-03-24,101,114476000,-14.8335658424179,-11.1941804595111,42.1644315276703,FALSE
2020-03-25,107.849998,106113500,-13.2412418851678,-11.6035927446424,45.7936553228917,FALSE
2020-03-26,105.632004,86903500,-12.0197312760954,-11.686820450933,44.8130862284969,FALSE
2020-03-27,102.872002,71887000,-11.1459013997441,-11.5786366406952,43.5630436151687,FALSE
2020-03-30,100.426003,59990500,-10.5293804607253,-11.3687854047013,42.4333546345781,FALSE
2020-03-31,104.800003,88857500,-9.57743521835195,-11.0105153674314,45.1714863592648,FALSE
2020-04-01,96.311996,66766000,-9.39957058437449,-10.68832641082,41.087324795204,FALSE
2020-04-02,90.893997,99292000,-9.58530538585227,-10.4677222058265,38.6830864164025,FALSE
2020-04-03,96.001999,112810500,-9.21411391252741,-10.2170005471667,42.1216915839258,FALSE
2020-04-06,103.248001,74509000,-8.24026158542074,-9.82165275481747,46.6889088427299,FALSE
2020-04-07,109.089996,89599000,-6.91733766434946,-9.24078973672387,50.1072889998309,FALSE
2020-04-08,109.767998,63280000,-5.74794312032668,-8.54222041344443,50.503957523945,FALSE
2020-04-09,114.599998,68250000,-4.38078849899456,-7.70993403055446,53.350503682834,FALSE
2020-04-13,130.190002,112377000,-2.01608540252073,-6.57116430494771,61.1197782911815,FALSE
