Date,Open,High,Low,Close,Adj Close,Volume,good news,12 EMA,26 EMA,MACD,Signal,MACD-Signal,Gains,Losses,Gains Avg,Losses Avg,RS,RSI,MACD,Signal,MACD-Signal,RSI,12 DAY EMA
2019-11-22,68.031998,68.199997,66,66.608002,66.608002,84353000,FALSE,,,,,,,,,,,,,,,,
2019-11-25,68.863998,68.914001,66.891998,67.267998,67.267998,61697500,FALSE,,,,,,0.659996000000007,0,,,,,,,,,
2019-11-26,67.054001,67.099998,65.419998,65.783997,65.783997,39737000,FALSE,,,,,,0,1.48400100000001,,,,,,,,,
2019-11-27,66.223999,66.786003,65.713997,66.258003,66.258003,27778000,FALSE,,,,,,0.474006000000003,0,,,,,,,,,
2019-11-29,66.222,66.251999,65.5,65.987999,65.987999,12328000,FALSE,,,,,,0,0.270004,,,,,,,,,
2019-12-02,65.879997,67.276001,65.737999,66.973999,66.973999,30372500,FALSE,,,,,,0.986000000000004,0,,,,,,,,,
2019-12-03,66.524002,67.582001,66.438004,67.239998,67.239998,32868500,FALSE,,,,,,0.265998999999994,0,,,,,,,,,
2019-12-04,67.550003,67.571999,66.57,66.606003,66.606003,27665000,FALSE,,,,,,0,0.633994999999999,,,,,,,,,
2019-12-05,66.566002,66.884003,65.449997,66.073997,66.073997,18623000,FALSE,,,,,,0,0.532005999999996,,,,,,,,,
2019-12-06,67,67.772003,66.954002,67.178001,67.178001,38062000,FALSE,,,,,,1.10400399999999,0,,,,,,,,,
2019-12-09,67.318001,68.889999,67.015999,67.905998,67.905998,45115500,FALSE,,,,,,0.727997000000002,0,,,,,,,,,
2019-12-10,67.991997,70.146004,67.862,69.767998,69.767998,44141500,FALSE,66.9709994166667,,,,,1.86200000000001,0,,,,,,,,,66.9709994166667
2019-12-11,70.375999,71.438004,70.218002,70.540001,70.540001,34489000,FALSE,67.5200765833333,,,,,0.772002999999998,0,,,,,,,,,67.5200765833333
2019-12-12,70.984001,72.547997,70.646004,71.935997,71.935997,38819500,FALSE,68.1994489551282,,,,,1.395996,0,,,,,,,,,68.1994489551282
